,name,rating,reviews,companytype,numemployee
1927,IDP Education Limited,4.0,331,EdTech , 1k-5k Employees 
1928,Honeywell International India,4.0,331,Defence & Aerospace , 10k-50k Employees 
1929,Caratlane Trading,4.4,331,Jewellery , 1k-5k Employees 
1930,Five-star Business Finance,4.4,330,NBFC , 5k-10k Employees 
1931,Jindal Poly Films,3.5,330,Packaging , 1k-5k Employees 
1932,Virtual Employee,3.5,330,Recruitment , 1k-5k Employees 
1933,Technip Energies,4.0,330,Engineering & Construction , 1k-5k Employees 
1934,Andritz,3.9,329,Industrial Machinery , 1k-5k Employees 
1935,Alpla,4.1,329,Packaging , 501-1k Employees 
1936,Wellness Forever Medicare,4.0,329,Retail , 1k-5k Employees 
1937,Pathkind Diagnostics Private Limited,3.9,329,Healthcare , 501-1k Employees 
1938,Amazon Sellers Services,4.3,328,Retail , 11-50 Employees 
1939,Avery Dennison,4.0,328,501-1k Employees , Forbes Global 2000 
1940,Capital Foods,4.0,328,Food Processing , 1k-5k Employees 
1941,Prime Focus Technologies,3.3,328,Software Product , 201-500 Employees 
1942,Emaar MGF,3.8,328,Real Estate , 501-1k Employees 
1943,Tata International,3.9,327,Import & Export , 1k-5k Employees 
1944,B. Braun Medical,3.9,327,Healthcare , 1k-5k Employees 
1945,Siyaram Silk Mills,4.0,327,Fashion & Textile , 1k-5k Employees 
1946,DB Schenker,4.2,327,Logistics , 501-1k Employees 
1947,Waaree Energies,3.7,327,Power , 51-200 Employees 
1948,Einfochips,3.5,327,IT Services & Consulting , 1k-5k Employees 
1949,Jaypee Cement,4.1,326,Building Material , 1k-5k Employees 
1950,Uppcl,4.0,326,Power , 10k-50k Employees 
1951,Brainvire,4.2,326,IT Services & Consulting , 201-500 Employees 
1952,Vindhya Telelinks,4.0,326,Hardware & Networking , 501-1k Employees 
1953,Heavy Engineering Industries & Shipbuilding,4.0,326,Engineering & Construction , 51-200 Employees 
1954,Prestige Group,4.1,326,Real Estate , 1k-5k Employees 
1955,Unimoni,3.9,326,FinTech , 1k-5k Employees 
1956,Baazar Kolkata,4.4,326,Retail , 1k-5k Employees 
1957,Del Monte Foods,4.0,326,Food Processing , 201-500 Employees 
1958,Suprajit Engineering,3.7,325,Auto Components , 501-1k Employees 
1959,Essar Group,3.9,325,Engineering & Construction , 10k-50k Employees 
1960,Flamingo Pharmaceuticals,3.2,325,Pharma , 501-1k Employees 
1961,Essar Group,3.9,325,Engineering & Construction , 10k-50k Employees 
1962,Mavenir Systems,3.7,325,Software Product , 1k-5k Employees 
1963,National Bulk Handling Corporation,4.0,325,Agriculture , 1k-5k Employees 
1964,Jtekt Sona Automotive India,4.1,325,Auto Components , 51-200 Employees 
1965,Suprajit Engineering,3.7,325,Auto Components , 501-1k Employees 
1966,Transrail Lighting,3.9,325,Electronics Manufacturing , 501-1k Employees 
1967,SPAR Hypermarkets,4.2,325,Retail , 1k-5k Employees 
1968,Alight Solutions,3.8,324,IT Services & Consulting , 1k-5k Employees 
1969,Trident Hotels,4.1,324,Hospitality , 1k-5k Employees 
1970,McCain Foods,4.3,324,Food Processing , 501-1k Employees 
1971,Evelyn Learning Systems,3.9,324,EdTech , 201-500 Employees 
1972,North East Small Finance Bank,4.0,324,Banking , 1k-5k Employees 
1973,RenewBuy,3.7,324,Insurance , 1k-5k Employees 
1974,Keihin Fie,4.3,323,Auto Components , 1k-5k Employees 
