,name,rating,reviews,companytype,numemployee
0,TCS,3.8,63.8k,IT Services & Consulting , 1 Lakh+ Employees 
1,Accenture,4.1,40.7k,IT Services & Consulting , 1 Lakh+ Employees 
2,Cognizant,3.9,37k,IT Services & Consulting , 1 Lakh+ Employees 
3,Wipro,3.8,33.8k,IT Services & Consulting , 1 Lakh+ Employees 
4,ICICI Bank,4.0,29.9k,Banking , 1 Lakh+ Employees 
5,HDFC Bank,3.9,29.5k,Banking , 1 Lakh+ Employees 
6,Infosys,3.9,27.9k,IT Services & Consulting , 1 Lakh+ Employees 
7,Capgemini,3.9,25.9k,IT Services & Consulting , 1 Lakh+ Employees 
8,Tech Mahindra,3.7,24.3k,IT Services & Consulting , 1 Lakh+ Employees 
9,HCLTech,3.7,23.5k,IT Services & Consulting , 1 Lakh+ Employees 
10,Genpact,4.0,23.3k,IT Services & Consulting , 50k-1 Lakh Employees 
11,Axis Bank,3.8,19.7k,Banking , 50k-1 Lakh Employees 
12,Concentrix Corporation,3.9,19k,BPO , 50k-1 Lakh Employees 
13,Amazon,4.2,18.1k,Internet , 1 Lakh+ Employees 
14,Reliance Jio,3.9,17.9k,Telecom , 50k-1 Lakh Employees 
15,IBM,4.1,17.9k,Software Product , 50k-1 Lakh Employees 
16,Larsen & Toubro Limited,4.0,16.8k,Engineering & Construction , 1 Lakh+ Employees 
17,Reliance Retail,3.9,15.9k,Retail , 1 Lakh+ Employees 
18,HDB Financial Services,4.0,15.9k,NBFC , 10k-50k Employees 
19,Teleperformance,3.6,15k,BPO , 10k-50k Employees 
20,Vodafone Idea,4.2,14.4k,10k-50k Employees , Public 
21,Deloitte,4.0,12.8k,Management Consulting , 1 Lakh+ Employees 
22,BYJU'S,3.2,12.7k,EdTech , 1k-5k Employees 
23,Kotak Mahindra Bank,3.8,12.5k,Banking , 10k-50k Employees 
24,Reliance Industries,4.0,11.7k,Oil & Gas , Public 
25,Bharti Airtel,4.0,10.9k,Telecom , 10k-50k Employees 
26,Tata Motors,4.2,10.1k,Automobile , 10k-50k Employees 
27,Ernst & Young,3.7,8.8k,Accounting & Auditing , 10k-50k Employees 
28,Flipkart,4.1,8.8k,Internet , 10k-50k Employees 
29,WNS,3.6,8.5k,BPO , 10k-50k Employees 
30,IndusInd Bank,3.7,8.1k,Banking , 10k-50k Employees 
31,Mahindra & Mahindra,4.1,8.1k,Automobile , 1 Lakh+ Employees 
32,iEnergizer,4.4,7.4k,BPO , 10k-50k Employees 
33,DXC Technology,3.8,7.4k,IT Services & Consulting , 10k-50k Employees 
34,Infosys BPM,3.9,7.3k,Analytics & KPO , 10k-50k Employees 
35,IDFC FIRST Bank,4.0,7k,Banking , 10k-50k Employees 
36,Conneqt Business Solutions,3.7,6.8k,Analytics & KPO , 10k-50k Employees 
37,Bajaj Finserv,4.0,6.4k,Insurance , 10k-50k Employees 
38,Hinduja Global Solutions,4.0,6.4k,Software Product , 10k-50k Employees 
39,HSBC Group,4.1,6.3k,Banking , 10k-50k Employees 
40,LTIMindtree,3.8,6.3k,IT Services & Consulting , 10k-50k Employees 
41,Mphasis,3.5,6.1k,IT Services & Consulting , 10k-50k Employees 
42,Startek,3.2,6.1k,BPO , 10k-50k Employees 
43,Ericsson,4.3,6k,10k-50k Employees , Forbes Global 2000 
44,PwC,3.7,6k,Accounting & Auditing , 10k-50k Employees 
45,Maruti Suzuki,4.2,5.9k,Automobile , 10k-50k Employees 
46,HDFC Life,4.1,5.7k,Insurance , 10k-50k Employees 
47,Yes Bank,3.9,5.6k,Banking , 10k-50k Employees 
48,Asian Paints,4.1,5.6k,Chemicals , 10k-50k Employees 
49,Dr. Reddy's,4.2,5.6k,Pharma , 10k-50k Employees 
50,Cipla Pharmaceutical,4.1,5.5k,Pharma , 10k-50k Employees 
51,Sutherland Global Services,3.8,5.4k,IT Services & Consulting , 10k-50k Employees 
52,NTT DATA,4.0,5.2k,IT Services & Consulting , 10k-50k Employees 
53,ICICI Prudential Life Insurance,4.1,5.1k,Insurance , 10k-50k Employees 
54,EXL Service,3.8,5.1k,Analytics & KPO , 10k-50k Employees 
55,Jana Small Finance Bank,3.8,5.1k,Banking , 10k-50k Employees 
56,UltraTech Cement,4.2,5k,Building Material , 10k-50k Employees 
57,HCL Group,3.7,5k,IT Services & Consulting , 1 Lakh+ Employees 
58,Udaan,4.0,5k,Internet , 1k-5k Employees 
59,Lupin,4.1,5k,Pharma , 10k-50k Employees 
60,Paytm,3.5,4.9k,FinTech , 5k-10k Employees 
61,Bandhan Bank,3.8,4.9k,Banking , 50k-1 Lakh Employees 
62,Bajaj Finance,4.1,4.8k,NBFC , 10k-50k Employees 
63,L&T Infotech,3.8,4.7k,IT Services & Consulting , 10k-50k Employees 
64,ITC,3.9,4.6k,FMCG , 10k-50k Employees 
65,Indian Army,4.7,4.6k,Defence & Aerospace , 1 Lakh+ Employees 
66,AU Small Finance Bank,4.2,4.6k,Financial Services , 10k-50k Employees 
67,JP Morgan Chase,4.2,4.5k,Financial Services , 10k-50k Employees 
68,Wells Fargo,4.2,4.5k,Banking , 10k-50k Employees 
69,FIS,3.9,4.5k,IT Services & Consulting , 5k-10k Employees 
70,Hindustan Unilever,4.2,4.4k,FMCG , 10k-50k Employees 
71,Delhivery,4.0,4.4k,Logistics , 10k-50k Employees 
72,IIFL Finance,3.8,4.4k,Financial Services , 10k-50k Employees 
73,Quess,3.9,4.3k,Recruitment , 1 Lakh+ Employees 
74,Amazon Development Centre India,4.2,4.3k,Internet , 10k-50k Employees 
75,TATA Steel,4.1,4.2k,Iron & Steel , 1 Lakh+ Employees 
76,Home Credit Finance,4.2,4.1k,Financial Services , 5k-10k Employees 
77,KPMG India,3.6,4.1k,Management Consulting , 10k-50k Employees 
78,Hexaware Technologies,3.7,4.1k,IT Services & Consulting , 10k-50k Employees 
79,Sun Pharmaceutical Industries,4.1,4.1k,Pharma , 10k-50k Employees 
80,Ujjivan Small Finance Bank,4.1,4k,Banking , 10k-50k Employees 
81,OPPO,3.9,4k,Consumer Electronics & Appliances , 10k-50k Employees 
82,JSW Steel,3.9,4k,Iron & Steel , 10k-50k Employees 
83,Shapoorji Pallonji Group,4.2,4k,Engineering & Construction , 5k-10k Employees 
84,Max Life Insurance,4.1,3.9k,Insurance , 10k-50k Employees 
85,Shriram Transport Finance,4.1,3.9k,NBFC , 10k-50k Employees 
86,Muthoot Finance,3.6,3.9k,NBFC , 10k-50k Employees 
87,Ashok Leyland,4.1,3.9k,Automobile , 10k-50k Employees 
88,Oracle,3.9,3.9k,Software Product , 50k-1 Lakh Employees 
89,eClerx,3.5,3.9k,IT Services & Consulting , 10k-50k Employees 
90,Vivo,4.0,3.9k,Consumer Electronics & Appliances , 5k-10k Employees 
91,Aurobindo Pharma,4.0,3.9k,Pharma , 10k-50k Employees 
92,Apollo Hospitals,4.1,3.8k,Healthcare , 50k-1 Lakh Employees 
93,Siemens,4.2,3.8k,Power , 5k-10k Employees 
94,Tata Projects,4.2,3.8k,Engineering & Construction , 10k-50k Employees 
95,Capgemini Technology Services India Limited,4.0,3.8k,Bengaluru/Bangalore +32 more,
96,Zydus Cadila,4.2,3.8k,Pharma , 10k-50k Employees 
97,JLL,4.2,3.7k,Real Estate , 5k-10k Employees 
98,First Source,3.8,3.7k,BPO , 10k-50k Employees 
99,JustDial,3.6,3.6k,Internet , 10k-50k Employees 
100,Hero MotoCorp,4.2,3.6k,Automobile , 5k-10k Employees 
101,Hewlett-Packard Enterprise,4.3,3.6k,Emerging Technologies , 10k-50k Employees 
102,Mahindra & Mahindra Financial Services,4.3,3.5k,NBFC , 10k-50k Employees 
103,Omega Healthcare,3.7,3.5k,IT Services & Consulting , 5k-10k Employees 
104,L&T Construction,4.0,3.5k,Engineering & Construction , 10k-50k Employees 
105,Megha Engineering & Infrastructures,4.1,3.5k,Engineering & Construction , 1k-5k Employees 
106,Cyient,3.7,3.5k,IT Services & Consulting , 10k-50k Employees 
107,Bajaj Allianz Life Insurance,4.1,3.4k,Insurance , 10k-50k Employees 
108,D Mart,3.9,3.4k,Retail , 10k-50k Employees 
109,Hyundai Motor,4.3,3.3k,Automobile , 10k-50k Employees 
110,Reliance Communications,3.9,3.3k,Telecom , 10k-50k Employees 
111,BigBasket,4.0,3.3k,Internet , 10k-50k Employees 
112,TVS Motor,4.0,3.3k,Automobile , 10k-50k Employees 
113,Indiamart Intermesh,3.6,3.3k,Internet , 10k-50k Employees 
114,Oyo Rooms,3.4,3.2k,Hospitality , 1k-5k Employees 
115,Bosch,4.3,3.2k,Auto Components , 10k-50k Employees 
116,Atos Syntel,3.6,3.2k,IT Services & Consulting , 5k-10k Employees 
117,Manappuram Finance,4.0,3.2k,NBFC , 10k-50k Employees 
118,SBI Cards & Payment Services,3.7,3.1k,1k-5k Employees , 25 years old 
119,Cummins,4.3,3.1k,Auto Components , 10k-50k Employees 
120,Bosch Global Software Technologies,4.2,3.1k,Software Product , 10k-50k Employees 
121,BNY Mellon,4.1,3.1k,IT Services & Consulting , 5k-10k Employees 
122,Future Group,4.2,3.1k,Retail , 10k-50k Employees 
123,Intelenet Global Services,3.7,3.1k,BPO , 10k-50k Employees 
124,SMFG India Credit,4.1,3.1k,NBFC , 10k-50k Employees 
125,Coforge,3.6,3.1k,IT Services & Consulting , 10k-50k Employees 
126,IQVIA,4.1,3.1k,Clinical Research , 10k-50k Employees 
127,Nagarro,4.3,3.1k,IT Services & Consulting , 10k-50k Employees 
128,UST,3.8,3k,IT Services & Consulting , 10k-50k Employees 
129,ICICI Lombard General Insurance Company,3.8,3k,Insurance , 10k-50k Employees 
130,Amdocs,4.0,3k,Software Product , 10k-50k Employees 
131,GlobalLogic,3.8,3k,IT Services & Consulting , 10k-50k Employees 
132,Virtusa Consulting Services,3.8,3k,IT Services & Consulting , 10k-50k Employees 
133,Schneider Electric,4.1,3k,Industrial Automation , 10k-50k Employees 
134,CBRE,4.2,3k,Real Estate , 10k-50k Employees 
135,Samsung,4.1,3k,5k-10k Employees , Public 
136,JBM Group,4.0,2.9k,Auto Components , 10k-50k Employees 
137,Dell,4.1,2.9k,Consumer Electronics & Appliances , 10k-50k Employees 
138,Ecom Express,4.1,2.9k,Logistics , 10k-50k Employees 
139,State Bank of India,3.8,2.9k,Banking , 1 Lakh+ Employees 
140,Cholamandalam Investment & Finance,4.1,2.9k,NBFC , 5k-10k Employees 
141,Swiggy,3.9,2.9k,Internet , 5k-10k Employees 
142,Bajaj Auto,3.9,2.8k,Automobile , 5k-10k Employees 
143,Equitas Small Finance Bank,4.1,2.8k,Banking , 10k-50k Employees 
144,L&T Technology Services,3.4,2.8k,IT Services & Consulting , 10k-50k Employees 
145,Viatris,4.3,2.8k,Pharma , 10k-50k Employees 
146,Ekart Logistics,4.1,2.8k,Logistics , 5k-10k Employees 
147,SBI Life Insurance Company,3.8,2.8k,Insurance , 10k-50k Employees 
148,Samvardhana Motherson Group,3.8,2.8k,Auto Components , 5k-10k Employees 
149,KEC International,4.1,2.8k,Engineering & Construction , 5k-10k Employees 
150,Nagarjuna Construction Company,4.1,2.8k,Engineering & Construction , 1k-5k Employees 
151,Optum,4.1,2.8k,Healthcare , 10k-50k Employees 
152,Aditya Birla Fashion and Retail,4.2,2.8k,Retail , 10k-50k Employees 
153,Godrej & Boyce Manufacturing,3.9,2.7k,FMCG , 10k-50k Employees 
154,Muthoot Fincorp,4.0,2.7k,NBFC , 10k-50k Employees 
155,Royal Enfield,4.2,2.7k,Automobile , 1k-5k Employees 
156,Tata Communications,4.1,2.7k,Telecom , 5k-10k Employees 
157,Piramal Capital Housing Finance,4.3,2.7k,NBFC , 5k-10k Employees 
158,LG Electronics,4.0,2.7k,Consumer Electronics & Appliances , 10k-50k Employees 
159,L&T Finance,3.9,2.7k,NBFC , 10k-50k Employees 
160,John Deere,4.3,2.7k,IT Services & Consulting , 5k-10k Employees 
161,Whitehat jr,3.6,2.7k,EdTech , 5k-10k Employees 
162,Intas Pharmaceuticals,4.2,2.6k,Pharma , 10k-50k Employees 
163,Thermax Limited,4.2,2.6k,Industrial Machinery , 5k-10k Employees 
164,Varun Beverages,4.0,2.6k,Beverage , 10k-50k Employees 
165,Ford Motor,4.5,2.6k,Automobile , 5k-10k Employees 
166,Sodexo,4.1,2.5k,Facility Management Services , 10k-50k Employees 
167,Hetero Drugs,3.8,2.5k,Pharma , 1k-5k Employees 
168,Abbott Healthcare,4.1,2.5k,Pharma , 1k-5k Employees 
169,Deutsche Bank,4.1,2.5k,Banking , 10k-50k Employees 
170,Randstad,3.9,2.5k,1k-5k Employees , Conglomerate 
171,UnitedHealth,4.2,2.5k,Healthcare , 10k-50k Employees 
172,Subros,3.9,2.5k,Auto Components , 1k-5k Employees 
173,Macleods Pharmaceuticals,3.8,2.5k,Pharma , 5k-10k Employees 
174,Havells,4.1,2.5k,Electrical Equipment , 5k-10k Employees 
175,VE Commercial Vehicles,4.0,2.5k,Automobile , 1k-5k Employees 
176,Automatic Data Processing (ADP),4.2,2.5k,IT Services & Consulting , 5k-10k Employees 
177,American Express,4.3,2.5k,Financial Services , 10k-50k Employees 
178,CARS24,3.6,2.4k,Internet , 5k-10k Employees 
179,Pidilite Industries,4.3,2.4k,Chemicals , 5k-10k Employees 
180,Alkem Laboratories,4.0,2.4k,Pharma , 10k-50k Employees 
181,Persistent Systems,3.9,2.4k,IT Services & Consulting , 10k-50k Employees 
182,Bharat Electronics,4.1,2.4k,Consumer Electronics & Appliances , 5k-10k Employees 
183,Atos,3.8,2.4k,IT Services & Consulting , 201-500 Employees 
184,Team Lease,3.9,2.4k,Recruitment , 1k-5k Employees 
185,Indian Air Force,4.6,2.4k,Defence & Aerospace , 1 Lakh+ Employees 
186,Alembic Pharmaceuticals,4.0,2.4k,Pharma , 10k-50k Employees 
187,Wipro Consumer Care & Lighting,3.8,2.4k,FMCG , 1k-5k Employees 
188,Hindustan Coca Cola Beverages,4.3,2.4k,Beverage , 5k-10k Employees 
189,Cgi Group,4.2,2.3k,IT Services & Consulting , 10k-50k Employees 
190,Wipro Infotech,4.1,2.3k,IT Services & Consulting , 1 Lakh+ Employees (Global) 
191,Hindalco Industries,4.2,2.3k,Metals & Mining , 10k-50k Employees 
192,Axis Direct,4.0,2.3k,Financial Services , 1k-5k Employees 
193,Publicis Sapient,3.6,2.3k,IT Services & Consulting , 10k-50k Employees 
194,DCB Bank,3.9,2.3k,Banking , 5k-10k Employees 
195,Vishal Mega Mart,3.8,2.3k,Retail , 10k-50k Employees 
196,CMS IT Services,3.2,2.3k,IT Services & Consulting , 5k-10k Employees 
197,Glenmark Pharmaceuticals,4.0,2.3k,Pharma , 501-1k Employees 
198,ABB Group,4.1,2.3k,Electrical Equipment , 10k-50k Employees 
199,Ipca Laboratories,4.0,2.3k,Pharma , 10k-50k Employees 
200,NatWest Group,4.1,2.3k,Banking , 10k-50k Employees 
201,Access Healthcare,3.9,2.3k,IT Services & Consulting , 1k-5k Employees 
202,R1 RCM,3.9,2.3k,Accounting & Auditing , 5k-10k Employees 
203,Honda Motorcycle & Scooter,4.2,2.2k,Automobile , 1k-5k Employees 
204,Standard Chartered Bank,3.9,2.2k,Banking , 10k-50k Employees 
205,DTDC Express,3.8,2.2k,Logistics , 1k-5k Employees 
206,Maersk,4.3,2.2k,Logistics , 10k-50k Employees 
207,MRF Tyres,3.7,2.2k,Auto Components , 10k-50k Employees 
208,Aarti Industries,4.1,2.2k,Chemicals , 5k-10k Employees 
209,Bank of America,4.4,2.2k,Banking , 10k-50k Employees 
210,Biocon,3.9,2.2k,Biotechnology , 10k-50k Employees 
211,Tata AIA Life Insurance,4.0,2.2k,Insurance , 10k-50k Employees 
212,Reliance Nippon Life Insurance,3.9,2.2k,Insurance , 10k-50k Employees 
213,Indiabulls Home Loans,3.8,2.2k,NBFC , 5k-10k Employees 
214,ITC Infotech India,3.5,2.2k,IT Services & Consulting , 5k-10k Employees 
215,GATI-KWE,4.1,2.2k,Logistics , 1k-5k Employees 
216,Paras Hospital,4.7,2.2k,Healthcare , 5k-10k Employees 
217,Conduent,3.6,2.2k,IT Services & Consulting , 5k-10k Employees 
218,24/7 Customer,3.6,2.2k,Software Product , 5k-10k Employees 
219,Jindal Steel and Power,3.9,2.2k,Iron & Steel , 5k-10k Employees 
220,Shoppers Stop,4.2,2.2k,Retail , 5k-10k Employees 
221,Aakash Educational Services,3.6,2.2k,EdTech , 10k-50k Employees 
222,Berger Paints,3.7,2.2k,Chemicals , 1k-5k Employees 
223,HDFC Ergo General Insurance,4.0,2.1k,Insurance , 5k-10k Employees 
224,Escorts Kubota Limited,4.1,2.1k,Automobile , 10k-50k Employees 
225,Ceat Tyres,4.0,2.1k,Auto Components , 5k-10k Employees 
226,PolicyBazaar,3.5,2.1k,FinTech , 5k-10k Employees 
227,RBL Bank,3.7,2.1k,Banking , 1k-5k Employees 
228,PNB MetLife,3.5,2.1k,Insurance , 5k-10k Employees 
229,Dabur,3.8,2.1k,FMCG , 5k-10k Employees 
230,Utkarsh Small Finance Bank,3.9,2.1k,Banking , 10k-50k Employees 
231,RSPL Group,4.1,2.1k,FMCG , 1k-5k Employees 
232,Kotak Mahindara Life Insurance,3.8,2.1k,Insurance , 10k-50k Employees 
233,Carelon Global Solutions,4.0,2.1k,IT Services & Consulting , 5k-10k Employees 
234,Cogent E Services,3.4,2.1k,BPO , 10k-50k Employees 
235,Indian Oil Corporation,4.4,2.1k,Oil & Gas , 10k-50k Employees 
236,GeBBS Healthcare Solutions,3.8,2.1k,BPO , 5k-10k Employees 
237,ACC,4.0,2.1k,Building Material , 5k-10k Employees 
238,JK Cement,4.1,2.1k,Building Material , 1k-5k Employees 
239,Marpu Foundation,4.9,2.1k,Non-Profit , 11-50 Employees 
240,Reliance Digital,4.2,2.1k,Retail , 5k-10k Employees 
241,Torrent Pharmaceuticals,3.9,2.1k,Pharma , 10k-50k Employees 
242,IndiGo,3.6,2k,Aviation , 10k-50k Employees 
243,Bajaj Electricals,4.1,2k,Consumer Electronics & Appliances , 1k-5k Employees 
244,Simplex Infrastructures,3.3,2k,Engineering & Construction , 1k-5k Employees 
245,ArcelorMittal Nippon Steel,4.0,2k,Iron & Steel , 5k-10k Employees 
246,Titan Company,4.4,2k,Other , 5k-10k Employees 
247,Jubilant Foods Works,3.8,2k,Retail , 10k-50k Employees 
248,Wipro Enterprises Ltd,3.8,2k,IT Services & Consulting , 501-1k Employees 
249,Dilip Buildcon,4.0,2k,Engineering & Construction , 10k-50k Employees 
250,Reliance SMSL,4.0,2k,BPO , 1k-5k Employees 
251,KocharTech,4.2,2k,IT Services & Consulting , 1k-5k Employees 
252,KPIT Technologies,3.6,2k,Software Product , 5k-10k Employees 
253,Huawei Technologies,4.0,2k,IT Services & Consulting , 51-200 Employees 
254,UPL,4.1,2k,Agro Chemicals , 1k-5k Employees 
255,Domino's Pizza,3.9,2k,Hospitality , 1k-5k Employees 
256,Birlasoft,3.7,2k,IT Services & Consulting , 10k-50k Employees 
257,Apollo Tyres,4.1,2k,Auto Components , 5k-10k Employees 
258,Synechron,4.0,1.9k,IT Services & Consulting , 5k-10k Employees 
259,Lava International,4.1,1.9k,Telecom , 1k-5k Employees 
260,Statestreet HCL Services,3.2,1.9k,BPO , 5k-10k Employees 
261,Suzlon Group,4.1,1.9k,Power , 5k-10k Employees 
262,Capita,3.9,1.9k,IT Services & Consulting , 5k-10k Employees 
263,Tata AIG,4.2,1.9k,Insurance , 5k-10k Employees 
264,Patanjali Ayurved,4.0,1.9k,FMCG , 5k-10k Employees 
265,Flex,4.1,1.9k,Electronics Manufacturing , 10k-50k Employees 
266,McDonald's,4.3,1.9k,Hospitality , 5k-10k Employees 
267,S&P Global,4.2,1.9k,IT Services & Consulting , 5k-10k Employees 
268,Lenskart,3.2,1.9k,Other , 1k-5k Employees 
269,Tech Mahindra Business Services,3.6,1.9k,BPO , 1k-5k Employees 
270,AFCONS Infrastructure,4.4,1.9k,Engineering & Construction , 10k-50k Employees 
271,AGS Health,4.1,1.9k,BPO , 10k-50k Employees 
272,Taj Hotels Resorts and Palaces,4.3,1.9k,Hospitality , 10k-50k Employees 
273,State Street Syntel,3.7,1.9k,Financial Services , 501-1k Employees 
274,Mankind Pharma,4.1,1.9k,Pharma , 5k-10k Employees 
275,Zensar Technologies,3.8,1.9k,IT Services & Consulting , 5k-10k Employees 
276,Max Healthcare,4.1,1.9k,Healthcare , 1k-5k Employees 
277,Capgemini Engineering,3.6,1.9k,10k-50k Employees , Gurgaon/Gurugram +16 more
278,Square Yards,3.8,1.8k,Real Estate , 1k-5k Employees 
279,Bajaj Allianz General Insurance,4.1,1.8k,Financial Services , 5k-10k Employees 
280,IGT Solutions,3.3,1.8k,IT Services & Consulting , 5k-10k Employees 
281,Birla Sun Life Insurance,4.2,1.8k,Insurance , 10k-50k Employees 
282,Landmark Group,4.1,1.8k,Retail , 1k-5k Employees 
283,Walmart,4.0,1.8k,Retail , 5k-10k Employees 
284,Fortis Healthcare,4.0,1.8k,Healthcare , 5k-10k Employees 
285,Tractors and Farm Equipment,4.1,1.8k,Automobile , 5k-10k Employees 
286,Blue Dart Express,4.1,1.8k,Logistics , 10k-50k Employees 
287,Nestle,4.1,1.8k,Food Processing , 5k-10k Employees 
288,Tata Technologies,3.7,1.8k,IT Services & Consulting , 5k-10k Employees 
289,Fiserv,3.7,1.8k,FinTech , 5k-10k Employees 
290,Societe Generale,3.9,1.8k,Financial Services , 1k-5k Employees 
291,HDFC Sales,4.0,1.8k,Financial Services , 10k-50k Employees 
292,Ola Cabs,3.6,1.8k,Internet , 501-1k Employees 
293,State Street Corporation,3.8,1.8k,Financial Services , 10k-50k Employees 
294,Nokia,4.2,1.8k,Hardware & Networking , 10k-50k Employees 
295,I Process Services,3.9,1.8k,Recruitment , 1k-5k Employees 
296,BlackBuck,3.8,1.8k,Logistics , 501-1k Employees 
297,Lifestyle,4.4,1.7k,Retail , 10k-50k Employees 
298,UNO Minda,4.0,1.7k,Auto Components , 201-500 Employees 
299,Voltas,4.0,1.7k,Consumer Electronics & Appliances , 1k-5k Employees 
300,Future Retail,4.3,1.7k,Retail , 10k-50k Employees 
301,The Himalaya Drug Company,4.1,1.7k,Pharma , 5k-10k Employees 
302,Eureka Forbes,3.9,1.7k,Consumer Electronics & Appliances , 5k-10k Employees 
303,Extramarks Education,3.5,1.7k,EdTech , 1k-5k Employees 
304,Radisson Hotels,4.0,1.7k,Hospitality , 10k-50k Employees 
305,ElasticRun,3.4,1.7k,Logistics , 1k-5k Employees 
306,JMC Projects,4.2,1.7k,Engineering & Construction , 1k-5k Employees 
307,Micro Labs,3.7,1.7k,Pharma , 10k-50k Employees 
308,Rivigo,3.9,1.7k,Internet , 1k-5k Employees 
309,Britannia,4.1,1.7k,Food Processing , 5k-10k Employees 
310,TVS Supply Chain Solutions,3.9,1.7k,Logistics , 1k-5k Employees 
311,Nokia Networks,4.3,1.7k,Telecom , 10k-50k Employees 
312,Exide Industries,3.5,1.7k,Auto Components , 1k-5k Employees 
313,G4S,4.0,1.7k,Law Enforcement & Security , 1 Lakh+ Employees 
314,Aditya Birla Group,4.2,1.7k,Retail , 10k-50k Employees 
315,PepsiCo,4.1,1.7k,Food Processing , 1k-5k Employees 
316,Tata Teleservices,4.1,1.7k,Telecom , 201-500 Employees 
317,Grasim Industries,4.0,1.7k,Building Material , 10k-50k Employees 
318,Johnson Controls,3.4,1.7k,Industrial Automation , 1k-5k Employees 
319,Ajanta Pharma,4.0,1.7k,Pharma , 5k-10k Employees 
320,ACT Fibernet,4.1,1.7k,Telecom , 5k-10k Employees 
321,Croma,4.2,1.6k,Retail , 1k-5k Employees 
322,R.R. Donnelley,4.1,1.6k,BPO , 5k-10k Employees 
323,Shree Cement,4.1,1.6k,Building Material , 5k-10k Employees 
324,TVS Credit,4.3,1.6k,NBFC , 10k-50k Employees 
325,Sterlite Technologies,3.9,1.6k,Hardware & Networking , 1k-5k Employees 
326,Blue Star,4.1,1.6k,Consumer Electronics & Appliances , 1k-5k Employees 
327,Life Insurance Corporation of India,4.3,1.6k,Insurance , 1 Lakh+ Employees 
328,Dalmia Bharat Cement,4.1,1.6k,Building Material , 5k-10k Employees 
329,Cholamandalam MS General Insurance,3.9,1.6k,Insurance , 1k-5k Employees 
330,Delhi Public School,3.8,1.6k,Education & Training , 1k-5k Employees 
331,Pfizer,4.1,1.6k,Pharma , 1k-5k Employees 
332,Sonalika Tractors,3.7,1.6k,Automobile , 1k-5k Employees 
333,CG Power and Industrial Solutions,3.8,1.6k,Electrical Equipment , 1k-5k Employees 
334,IKS Health,3.5,1.6k,Healthcare , 5k-10k Employees 
335,Emcure Pharmaceuticals,3.8,1.6k,Pharma , 5k-10k Employees 
336,Yazaki,3.8,1.6k,Auto Components , 10k-50k Employees 
337,Renault-Nissan,4.1,1.6k,Automobile , 10k-50k Employees 
338,Samsung Electronics,4.1,1.6k,Noida +185 more,
339,XpressBees,3.8,1.6k,Logistics , 1k-5k Employees 
340,Mahindra Logistics,4.1,1.6k,Logistics , 1k-5k Employees 
341,Zomato,3.7,1.6k,Internet , 1k-5k Employees 
342,Barclays,4.0,1.5k,Banking , 10k-50k Employees 
343,BHEL,4.2,1.5k,Electrical Equipment , 10k-50k Employees 
344,Datamatics Global Services,3.6,1.5k,IT Services & Consulting , 1k-5k Employees 
345,Indus Towers,4.0,1.5k,Telecom , 1k-5k Employees 
346,Parle Agro,4.2,1.5k,Beverage , 1k-5k Employees 
347,Mahindra Holidays & Resorts,3.7,1.5k,Hospitality , 5k-10k Employees 
348,DS Group,4.0,1.5k,FMCG , 1k-5k Employees 
349,V-Mart,4.2,1.5k,Retail , 5k-10k Employees 
350,Raymond,4.0,1.5k,Fashion & Textile , 5k-10k Employees 
351,PVR Cinemas,4.1,1.5k,Media & Entertainment , 5k-10k Employees 
352,HCL Infosystems,3.9,1.5k,IT Services & Consulting , 51-200 Employees 
353,Kalyan Jewellers,4.8,1.5k,Metals & Mining , 5k-10k Employees 
354,Kalpataru Power Transmission,4.1,1.5k,Power , 1k-5k Employees 
355,Indian Railways,4.1,1.5k,Railways , 1 Lakh+ Employees 
356,Poonawalla Fincorp,3.9,1.5k,NBFC , 5k-10k Employees 
357,Ambuja Cements,3.9,1.5k,Building Material , 5k-10k Employees 
358,SRF,4.2,1.5k,Chemicals , 5k-10k Employees 
359,Reliance Trends,4.3,1.5k,Retail , 1 Lakh+ Employees 
360,Cybage,4.0,1.5k,IT Services & Consulting , 5k-10k Employees 
361,Info Edge,4.1,1.5k,Internet , 1k-5k Employees 
362,ICICI Securities,3.7,1.5k,Financial Services , 5k-10k Employees 
363,Whirlpool,4.1,1.5k,Consumer Electronics & Appliances , 1k-5k Employees 
364,Kansai Nerolac Paints,3.9,1.5k,Chemicals , 1k-5k Employees 
365,Myntra,4.1,1.5k,Internet , 1k-5k Employees 
366,Shell,4.3,1.5k,Oil & Gas , 10k-50k Employees 
367,Force Motors,3.5,1.5k,Automobile , 1k-5k Employees 
368,Shriram City,4.1,1.5k,Financial Services , 10k-50k Employees 
369,BT Group,4.1,1.5k,Telecom , 10k-50k Employees 
370,JCB,3.9,1.4k,Industrial Machinery , 1k-5k Employees 
371,Shahi Exports,4.1,1.4k,Retail , 1 Lakh+ Employees 
372,Sterling & Wilson,4.1,1.4k,Real Estate , 5k-10k Employees 
373,Kyndryl,4.0,1.4k,IT Services & Consulting , 10k-50k Employees 
374,Cadila Pharmaceuticals,3.3,1.4k,Pharma , 5k-10k Employees 
375,3i Infotech,3.5,1.4k,IT Services & Consulting , 1k-5k Employees 
376,Blinkit,3.8,1.4k,Internet , 1k-5k Employees 
377,ZS,3.6,1.4k,Management Consulting , 5k-10k Employees 
